State_No,County_No,Votes_For,Votes_Against,Total_Votes,Ballot_Type,Population,Per_Capita_Income,Medium_Family_Income,Size_of_County,Population_Density,Percent_White,Percent_Black,Percent_Other,Percent_Male,Percent_Female,No_of_Churches,No_of_Church_Members,Poverty_Level_Rate,Unemployment_Rate,Age_Less_than_18,Age_18_24,Age_24_44,Age_44_64,Age_Older_than_64,MSA,Percent_Minority
9,81,629,360,989,2,14377,"$10,397 ","$16,968 ",1133.10,12.69,.26,.01,.73,.495,.505,24,2899,35.00,8.30,5029,1438,4001,2403,1506,2,.74
9,82,784,647,1431,2,14142,"$11,779 ","$27,468 ",1502.40,9.41,.64,.03,.33,.500,.500,27,6409,23.10,3.40,5181,1275,3971,2420,1295,2,.36
9,83,18623,6979,25602,2,223002,"$18,219 ","$33,900 ",398.70,559.32,.66,.18,.16,.492,.508,182,62772,15.90,7.20,62088,19992,74104,43103,23715,1,.34
9,84,292,377,669,2,5049,"$12,469 ","$22,896 ",895.60,5.64,.64,.07,.29,.480,.520,19,2303,22.60,4.00,1624,365,1308,955,797,2,.36
9,85,1740,1185,2925,2,17530,"$17,153 ","$26,379 ",1061.20,16.52,.85,.00,.15,.479,.521,30,6439,12.80,1.80,4119,992,4213,3794,4412,2,.15
9,86,150,84,234,2,1462,"$14,598 ","$33,860 ",900.80,1.62,.70,.00,.30,.511,.489,4,242,16.10,1.90,519,125,443,287,88,2,.30
9,87,576,336,912,2,6013,"$13,064 ","$24,050 ",853.60,7.04,.57,.07,.36,.482,.518,18,1756,19.50,4.80,1647,404,1690,1238,1034,2,.43
9,88,1260,785,2045,2,17235,"$14,396 ","$20,169 ",1067.90,16.14,.54,.10,.35,.490,.510,44,6124,26.70,3.90,4999,1450,4473,3287,3026,2,.46
9,89,2390,2682,5072,2,23565,"$18,326 ","$28,934 ",928.30,25.39,.87,.04,.09,.480,.520,44,14876,14.20,5.00,6286,1686,6460,4979,4154,2,.13
9,90,7552,5218,12770,2,95598,"$16,427 ","$28,175 ",933.70,102.39,.89,.07,.04,.477,.523,171,50090,15.90,7.10,24515,8729,27602,18992,15760,1,.11
9,91,7514,6535,14049,2,106918,"$18,171 ","$28,650 ",274.10,390.07,.76,.19,.04,.480,.520,146,55827,17.50,8.90,29648,10390,32730,19908,14242,1,.24
9,92,1428,733,2161,2,19127,"$12,720 ","$23,493 ",793.80,24.10,.61,.25,.14,.546,.454,52,6605,23.00,4.50,5104,2023,6076,3340,2584,2,.39
9,93,5091,2304,7395,2,65936,"$14,788 ","$30,321 ",711.20,92.71,.63,.06,.31,.494,.506,52,13906,16.70,4.20,18962,6261,19984,12625,8104,1,.37
9,94,1624,2229,3853,2,34756,"$14,743 ","$24,832 ",1004.70,34.59,.52,.06,.42,.490,.510,71,19566,23.40,5.20,11254,3581,9491,6095,4335,2,.48
9,95,363,325,688,2,3887,"$12,233 ","$17,283 ",903.10,4.30,.73,.08,.19,.469,.531,19,3521,27.70,6.10,941,251,841,823,1031,2,.27
9,96,744,586,1330,2,7570,"$15,575 ","$21,005 ",835.80,9.06,.94,.00,.06,.476,.524,35,4534,18.40,3.50,1705,480,1722,1584,2079,2,.06
9,97,594,538,1132,2,5687,"$26,467 ","$32,288 ",919.90,6.18,.79,.00,.21,.498,.502,14,3468,11.80,3.70,1783,407,1592,1144,761,2,.21
9,98,440,451,891,2,4976,"$14,475 ","$21,165 ",695.40,7.16,.81,.07,.12,.474,.526,16,3615,19.10,4.20,1305,346,1170,984,1171,2,.19
9,99,2825,2158,4983,2,42405,"$14,524 ","$29,719 ",894.40,47.41,.89,.09,.02,.491,.509,68,20089,14.20,6.50,12598,3582,12664,8568,4993,1,.11
9,100,3976,3424,7400,2,57203,"$14,376 ","$25,548 ",898.80,63.64,.69,.28,.03,.481,.519,86,26702,20.50,8.40,16629,5309,16695,10787,7783,1,.31
9,101,472,366,838,2,3635,"$30,296 ","$37,577 ",1462.40,2.49,.93,.00,.06,.480,.520,9,1086,5.60,2.30,1048,194,990,819,584,2,.07
9,102,647,718,1365,2,6716,"$13,201 ","$21,492 ",903.00,7.44,.76,.04,.19,.481,.519,26,5534,21.60,3.20,1682,408,1589,1376,1661,2,.24
9,103,5664,2694,8358,2,66998,"$14,125 ","$30,639 ",677.90,98.83,.67,.04,.29,.502,.498,60,16093,16.00,4.30,16470,15214,20472,9421,5421,1,.33
9,104,521,465,986,2,3669,"$21,318 ","$35,621 ",909.70,4.03,.88,.00,.12,.488,.512,10,1953,8.20,3.40,1148,229,1100,711,481,2,.12
9,105,5370,3659,9029,2,59333,"$13,705 ","$23,519 ",874.40,67.86,.87,.08,.05,.485,.515,103,20964,18.70,9.90,14404,4651,14688,13858,11732,1,.13
9,106,14368,4062,18430,2,401297,"$9,582 ","$18,103 ",1569.10,255.75,.14,.00,.86,.483,.517,277,33670,41.10,21.30,146989,46135,110078,57924,40171,1,.86
9,107,2520,1679,4199,2,27398,"$13,291 ","$22,440 ",962.40,28.47,.82,.09,.09,.479,.521,80,12081,21.90,6.60,7023,2292,6896,5594,5593,2,.18
9,108,1495,1447,2942,2,24453,"$13,959 ","$28,580 ",908.30,26.92,.63,.04,.32,.493,.507,47,12249,18.90,4.40,7946,2728,6937,4155,2687,2,.37
9,109,3476,1665,5141,2,30078,"$18,969 ","$33,539 ",421.60,71.34,.94,.00,.06,.496,.504,39,10793,11.90,6.10,7707,1897,8760,6750,4964,1,.06
9,110,2341,2285,4626,2,28966,"$14,498 ","$24,280 ",784.80,36.91,.86,.09,.06,.490,.510,88,15582,17.30,7.50,7803,2613,8280,5569,4701,2,.14
9,111,1447,1410,2857,2,21469,"$14,146 ","$21,429 ",1231.00,17.44,.66,.30,.05,.507,.493,63,11469,25.20,4.90,5474,1596,6212,4082,4105,2,.34
9,112,2337,1931,4268,2,32231,"$15,153 ","$25,553 ",902.90,35.70,.68,.04,.28,.504,.496,61,14337,20.70,4.60,8721,2858,9315,6600,4737,2,.32
